problema¬problema_lg
INDICAN SE HA  ESTROPEADO EN LA INSTALACION Y QUE NECESITAN OTRA URGENTE. NO CONSIGO HABLAR CON LA PERSONA QUE SABE CUAL HA SIDO EL PROBLEMA¬es
NO FUNCIONA¬es
TACTO BLOQUEADO. NO ENCIENDE-APAGA NI DEJA CAMBIAR TEMPERATURA¬es
"UNA DE LAS 2 PERSIANAS NO FUNCIONA CON PULSADORES, NO SUBE Y SOLO OBEDECE A LA ORDEN DE BAJADA.
ENVIAR MATERIAL, SE RECOGERÁ EL ANTIGUO, CUANDO SE REALICE LA ASISTENCIA PARA LA POSTVENTA QUE HAY PENDIENTE EN MAYO."¬es
"Rafael  el viernes llego mi pedido nº 23349 para Jesús Velasco.
Una de las rejillas de 450x150 viene deteriorada y no funciona .
SE SOLICITA REPOSICION DE REJILLA
"¬es
MODULO DE FANCOIL DE ZONA 32Z¬es
SE DETECTA QUE EL BLUEFACE AL ENCENDERLO, SE QUEDABA CON EL RELOJ Y SE RESETEABA. AL CABO DE UN RATO, YA NI SIQUIERA SE ENCENDIA, SE DETECTA QUE EL BUS DE COMUNICACIONES SACA 7V EN VEZ DE 12V.¬es
Error comercial, por cambio de última hora en el modelo de máquina. Cambiar por pasarela AZXEQADAPSAI¬es
SE ROMPEN TAPAS TRASERAS. CAMBIAR TERMOSTATO.¬es
5 UNIDADES. SE ROMPEN TAPAS TRASERAS.¬es
2 UNIDADES. TAPAS TRASERAS ROTAS EN VARIAS OCASIONES¬es
6 UNIDADES. TAPAS TRASERAS ROTAS EN VARIAS OCASIONES¬es
TACTO RADIO BLOQUEADO. TRAMITAR PEDIDO PARA FERNANDO DE LA CRUZ, COMO ASISTENCIA A OBRA. GRACIAS¬es
"MARCA ""SCAN"" TODO EL TIEMPO. NO SE VINCULA."¬es
HEMOS DE SUMINISTRAR UNA PASARELA ELECTROMECANICA PARA ELIMINAR LA CCP, POR INCOMPATIBILIDAD DE LA CCP CON EL WS¬es
SON DOS UNIDADES¬es
PANTALLA TACTIL NO FUNCIONA CORRECTAMENTE.¬es
Solicitan repuesto de los motores de una rejilla lieal de 1000x100 que dicen se ha estropeado.¬es
SONDA NO MIDE CORRECTAMENTE, SE QUEDA FIJA LA TEMPERATURA AMBIENTE.¬es
REJILLA REPUESTO.¬es
ENVIO DE AZXWSCLOUDWIFI PARA ASISTENCIA A OBRA EL MARTES 16 DE JUNIO. FERNANDO RETIRA EL ANTIGUO Y LO ENVÍA A MALAGA¬es
ERROR DE CONEXIONES CONTINUADAS. ROGAMOS ACTUALIZACION A AZXWSCLOUDWIFI¬es
EN EL ALBARÁN 21407367 PEDIMOS 44 UNIDADES DE CTROLAD.TACTO FLEXA 2.0/CEN EMPOT.BL., PUES 2 DE ELLOS TIENEN LA PANTALLA DEFECTUOSA, NO FUNCIONA EL TACTIL.¬es
CENTRAL NO CONECTA CON LOS TERMOSTATOS RADIO¬es
Falsa pulsación en el tacto del Blueface, navegación lenta entre pantallas y cambio por si solo a otras pantallas. Se ha colocado otra plantilla más entre el tacto y la carcasa, la navegación entre pantallas es más ágil pero continúan existiendo algu¬es
ACTUALIZACION WS MANOLIN¬es
ACTUALIZACION A AZXWSCLOUDWIFI¬ro
SE BLOQUEA LA PLACA AL CONECTAR TODOS LOS SECTORES¬es
DIMENSIONES DIFERENTES A LAS DEL PEDIDO.¬es
SE ESTROPEA EL MOTOR, ENVIAR UNO NUEVO, Y YO DEVUELVO EL ESTROPEADO¬es
REPONER¬es
ERROR AL CONECTARSE A LA CENTRAL. TODO EL TIEMPO EN SCAN¬es
TACTO NO ACTUALIZA TEMPERATURA¬es
PRUEBA DE REOCGIDA SIMPLEMNETE¬es
SOLICITAMOS ABONO PORQUE ESTÁ DEFECTUOSO, NO ESCANEA¬es
SE DETECTA PERO NO MANDA ORDEN DE ENCENDER A/C.¬es
NO SE DETECTA EN EL BUS.¬es
4 uds blueface empotrado blanco acuazone¬es
CAMBIO POR UNO NUEVO POR AVERIA¬es
Ha perdido conexion internet aun estando enlazado a router¬es
pierde salida internet aun estando enlazado a router¬es
Actualizae 3 wsapp a 3 wscloud por crear expectativas en clientes no satisfechas¬es
SUSTITUIR BLUEFACE DEFECTUAOSO¬ro
ACTULIZAR A CLOUD SIN COSTE, PROBLEMA CON EL PUERTO, EL MISMO QUE LA DOMOTICA, ENTREGAR A FERMIN¬es
CENTRAL CON PROBLEMAS EN LAS COMUNICACIONES RADIO¬es
SUSTITUCION DE LA PASARELA DE COMUNICACION¬es
EL TERMOSTATO FUNCIONA PERO FALLA¬it
TENEMOS UNA INCIDENCIA CON UN TERMOSTATO BLUEFACE CORRESPONDIENTE CON UN PACK BASIC FALLABA. HABLADO CON RAFAEL E INDICO QUE LE DIERAMOS AL CLIENTE UNO NUEVO, POR LO QUE NECESITAMOS ABONO DEL AVERIADO¬es
uno esta en negro y otro va muy lento¬es
ERROR AL CONECTAR LOS TERMOSTATOS RADIO.¬es
CENTRAL DEFECTUOSA, HABLADO CON POSTVENTA EN SU DIA¬es
BLUEFACE ROTO. ERROR E1¬es
TERMOSTATO FALLA TACTIL¬it
CCC¬Too short
MANDO AVERIADO EN GARANTIA SUSTITUIRLO POR UNO NUEVO¬es
No proporciona la suficiente corriente al Blueface y se reinicia.¬es
REJILLA SE BLOQUEA¬ca
Este módulo ha estado funcionando un día y ha dejado de funcionar, no da salida. Les agradecería que nos envaran otro en garantía con la mayor brevedad.¬es
TENEMOS UN CTROLAD.TACTO RADIO FLEXA2.0 SUPF.GR. QUE NO CONECTA, YA HEMOS HECHO EL PEDIDO DE LA REPOSICION¬es
NO ENCIENDE, ENTREGARME OTRO POR FAVOR¬es
SOLICITO UNO PARA DEVOLVER EL QUE ME PRESTARON.¬es
"Casa B Sótano  Dim4 00:00:03:595 
dimmer averiado, por favor suministra uno a Fermin o Laura, para poder configurar ante de instalar"¬es
"1 central, 1 maestro radios y 4 zona radios
Sustituir un antree de 6 zonas por flexa 2011 canal fijo.
Por favor enviar a SDP Climaven el material para la sustitución."¬es
EL TERMOSTATO SE QUEDA BLOQUEADO, ENVIAR UNO NUEVO Y RECOGER DEFECTUOSO¬es
"CAMBIO POR DEFECTO.
CONSULTA AVERIA A JOSE LUIS SOBRINO"¬es
DICE EL TECNICO QUE HACE LA INTEGRACION; La pasarela no se puede programar, el botón de programación no hace nada y no se enciende el led de programación..¬es
para sustituir un wsapp wifi con problemas,¬en
PROBLEMA EN LA PANTALLA¬es
"central acuazone que no da demanda de las zonas zonificadas.
Mega villa integrada con KNX y la central acuazone tiene zonas de rejillas, zonas de solo suelo y zonas de maquinas individuales ME.
Hablado con Pedro Lorca, el comportamiento no es norma"¬es
por si se trata de problemas de alimentacion¬es
A RALLAS SEGUN IMAGEN, ENVIAR UNO EN GARANTIA.¬es
"VA MAL EL TACTIL. NO RESPONDE LA MAYORIA DE VECES.
NO ESTOY SEGURO SI ES DE ESE PEDIDO. PORQUE TIENE VARIOS MEZCLADOS."¬es
DICE QUE LLEGO ROTO...¬es
ERROR1¬da
ENVIAR 10 TAPAS TRASERAS¬lv
BF AVERIADO SUSTITUIR¬pt
"TERMOSTATO TACTO CABLE DEFECTUOSO, MOTOR DE COMPUERTA DEFECTUOSO
ENVIAR NUEVO Y RECOGER DAÑADO"¬es
TERMOSTATO QUE QUEDA UNA PARTE EN BLANCO¬es
TAPAS TRASERAS ROTAS ENVIAR 20 UNID¬lv
TERMOSTATO CON PANTALLA DEFECTUOSA¬it
incompatibilidad cen y pasarela 0-10¬es
incompatibilidad ceny pasarela 0-10v¬es
incompatibilidad cen y pasarela 0-10v¬es
"Pasarela Daikin: unos 3 minutos despues de arrancar, la temperatura en el mando de la maquina se dispara a 29º y se apaga.

Contacto: Manuel Espin 696174295"¬es
Rejilla defectuosa, enviar una nueva retirar defectuosa¬es
No funciona correctamente y le da error el sistema¬es
Pasarela de FC zonificado no acciona los relés¬es
Modulo de FC cableado no enciende ningun LED al alimentarlo.¬es
Blueface presenta rayas¬es
SONDA GASTA LA PILA EN 1 MES. SE HA COMPARADO CON OTRA, PONIENDOLAS PILAS A LA VEZ NUEVAS Y SE GASTA IGUAL EN UNA DE ELLAS.¬es
-¬Too short
no se puede acceder, por favor servir uno a Laura.¬es
